find number,item number,item name,quantity,bom notes
,830-00309-01,"Group, Jaeger Base",,
36,235-00131-01,"SWITCH, PUSHBUTTON, E-STOP, 22mm",1,
71,235-00136-01,Kill Switch,1,
1,275-00252-01,"Hub servo  Motor - 5inch, 24V, 3N.m, 270RPM, 4096‐wire encoder, single shaft, 70kg load/2 wheels",2,
6,411-00491-01,"Chassis, Jaeger",1,
7,411-00492-01,"Bracket, Chassis Back Riser, Jaeger",1,
8,411-00493-01,"Bracket, Chassis Front Riser, Jaeger",2,
9,411-00494-01,"Plate, B3CM, Jaeger",1,
10,411-00495-01,"Plate, DDTCM, Jaeger",1,
11,411-00496-01,"Bracket, Spring Retainer, Jaeger",2,
12,411-00497-01,"Bracket, Left Drive Wheel, Jaeger",1,
13,411-00498-01,"Bracket, Right Drive Wheel, Jaeger",1,
14,411-00499-01,"Bracket, Left Suspension Stop, Jaeger",1,
15,411-00500-01,"Bracket, Right Suspension Stop, Jaeger",1,
16,411-00502-01,"Bracket, Estop, Jaeger",1,
17,411-00503-01,"Bracket, Handle Support, Jaeger",2,
18,411-00504-01,"Bracket, Left Handle, Jaeger",1,
19,411-00505-01,"Bracket, Right Handle, Jaeger",1,
20,411-00506-01,"Bracket, Base Hook, Jaeger",1,
21,411-00507-01,"Bracket, Base Snap-in Catch, Jaeger",1,
24,412-00193-01,"Base Plate, Tower, Jaeger",1,
25,412-00194-01,"Mount, Wheel Pivot, Jaeger",4,
26,412-00196-01,"Pin, Suspension, Jaeger",2,
28,420-00219-01,"5-in-1 Antenna Mount, Jaeger",1,
29,420-00221-01,"Cover, Base Rear, Jaeger",1,
30,420-00222-01,"Cover, Base Front, Jaeger",1,
31,420-00223-01,"Rail, Battery, Jaeger",2,
34,423-00278-01,"Spacer, Speaker, Jaeger",1,
72,440-00259-01,"Label, Jaeger Serial Number",1,
37,442-00474-01,"Swivel Caster, Dual Wheel Polyamide Gray 50mm",4,
38,442-00475-01,"Plate, Caster Mounting Base with Pin 42x42mm",4,
40,442-00571-01,"Gripping Tray, GN 7330, Zinc Die Cast, Black",2,
41,442-00572-01,"Holder Strip Brush, Jaeger",1,
42,442-00573-01,"Strip Brush, Jaeger",1,
43,442-00574-01,"Bumper, RGB 250-562-4, Rubber, Black",4,
44,442-00575-01,"Hole Grommet, SBR Rubber 1-1/8"" Hole Dia x 3/32"" Thk",2,
45,442-00576-01,"Cable Clamp, Screw Mount 0.203"" Dia, Black Nylon, 0.875"" ID",1,
